a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
it is suggested to evaluate the overall XXXXX of passengers using one single XXXXX ranging from extreme discomfort to extreme comfort	['comfort experience', 'rating scale']
the XXXXX and XXXXX literatures are reviewed for insights regarding effective decision support design	['decision making', 'problem solving']
the XXXXX and problem solving literatures are reviewed for insights regarding effective XXXXX	['decision making', 'decision support design']
the decision making and XXXXX literatures are reviewed for insights regarding effective XXXXX	['problem solving', 'decision support design']
the role of graphical displays in supporting XXXXX , XXXXX and system safety is explored in detail	['decision making', 'problem solving']
the role of graphical displays in supporting XXXXX , problem solving and XXXXX is explored in detail	['decision making', 'system safety']
the role of graphical displays in supporting decision making , XXXXX and XXXXX is explored in detail	['problem solving', 'system safety']
participants prefer auditory warnings , as opposed to visual , vibrotactile or electric stimuli . specifically , XXXXX prefer alarm warnings , while XXXXX prefer verbal warnings	['truck drivers', 'taxi drivers']
XXXXX via the combination of technologies incorporating XXXXX , tri-axial accelerometers , and supported by survey data	['data collection', 'gps data']
XXXXX via the combination of technologies incorporating gps data , tri-axial accelerometers , and supported by XXXXX	['data collection', 'survey data']
data collection via the combination of technologies incorporating XXXXX , tri-axial accelerometers , and supported by XXXXX	['gps data', 'survey data']
the maximum XXXXX and fatigue were influenced significantly in XXXXX and pressure	['grip strength', 'low temperature']
work sampling , XXXXX , XXXXX were integrated	['computer simulation', 'biomechanical modeling']
intrinsic XXXXX is an essential feature of XXXXX	['human motion', 'movement variability']
XXXXX theories can explain the existence of intrinsic XXXXX	['motor control', 'movement variability']
intrinsic XXXXX should be taken into account in XXXXX	['movement variability', 'workstation design']
XXXXX and XXXXX in grocery store workers are clarified	['physical workload', 'musculoskeletal symptoms']
XXXXX ( cwa ) is applied to pedestrian use of XXXXX	['cognitive work analysis', 'rail level crossings']
XXXXX was influenced by XXXXX but not by lay-off period	['system reliability', 'operator trust']
XXXXX climate perceptions were linked to XXXXX and engagement	['job satisfaction', 'employee safety']
XXXXX climate perceptions were linked to objective XXXXX	['employee safety', 'turnover rate']
XXXXX mediated between XXXXX , employee engagement , turnover rate	['job satisfaction', 'safety climate']
XXXXX mediated between safety climate , XXXXX , turnover rate	['job satisfaction', 'employee engagement']
XXXXX mediated between safety climate , employee engagement , XXXXX	['job satisfaction', 'turnover rate']
job satisfaction mediated between XXXXX , XXXXX , turnover rate	['safety climate', 'employee engagement']
job satisfaction mediated between XXXXX , employee engagement , XXXXX	['safety climate', 'turnover rate']
job satisfaction mediated between safety climate , XXXXX , XXXXX	['employee engagement', 'turnover rate']
XXXXX should focus on the interactions between XXXXX and the role of higher level work system factors	['future research', 'work systems']
we examine whether XXXXX ( wbv ) increases frequency of XXXXX	['whole-body vibration', 'action slips']
XXXXX times didn’t differ between 2d and 3d , but times were slower on the XXXXX than the microscope	['task completion', 'video displays']
XXXXX reduce posture constraints and may reduce XXXXX and fatigue in microsurgery	['musculoskeletal symptoms', 'video displays']
the need of approaching and intervening simultaneously human and environmental problems has been identify . this are the results of a XXXXX of design concepts and methods associated with human and XXXXX	['systematic review', 'environmental factors']
the need of approaching and intervening simultaneously human and environmental problems has been identify . this are the results of a XXXXX of XXXXX and methods associated with human and environmental factors	['systematic review', 'design concepts']
the need of approaching and intervening simultaneously human and environmental problems has been identify . this are the results of a systematic review of XXXXX and methods associated with human and XXXXX	['environmental factors', 'design concepts']
it shows conceptual and methodological segregation between XXXXX and XXXXX in published documents	['human factors', 'environmental factors']
XXXXX was utilized to assess the improvement strategy of latent XXXXX	['fuzzy topsis', 'human errors']
XXXXX was used to inspect the robustness of the results of XXXXX	['sensitivity analysis', 'fuzzy topsis']
this is the first study to assess XXXXX by hfacs and XXXXX	['human errors', 'fuzzy topsis']
XXXXX are neither necessary nor sufficient to elicit XXXXX	['time constraints', 'time pressure']
sorting quality influences XXXXX , environment and XXXXX	['working conditions', 'system performance']
maritime engine room officers commonly agree that the rapid XXXXX and reduced staffing onboard have contributed to higher workload and altered XXXXX	['technological development', 'work tasks']
presented and provided evidence of how the XXXXX are categorised in each XXXXX	['visualisation methods', 'selection approach']
neck disorders were associated with head and XXXXX , trapezius and forearm XXXXX , and wrist velocity	['muscle activity', 'arm posture']
workstations on XXXXX were classified into high and low workload workstations with the median score of XXXXX	['assembly line', 'body parts']
the hlcb could lower XXXXX , oxygen uptake , minute ventilation and peripheral rating of XXXXX when carrying a 15 kg load	['heart rate', 'perceived exertion']
XXXXX can address XXXXX ( e.g. , enhancing awareness )	['human factors', 'policy interventions']
the decision ladder was used to examine XXXXX at rail XXXXX	['decision making', 'level crossings']
XXXXX at rail XXXXX varies within and between road user groups	['decision making', 'level crossings']
XXXXX sonifications do not reveal when XXXXX is too high	['pulse oximetry', 'oxygen saturation']
pain reports of those with XXXXX on XXXXX decreased 58 % on decline	['low back pain', 'level ground']
during an instrument XXXXX proficiency test , XXXXX ( hr ) /heart rate variation ( hrv ) are sensitive measures of varying levels of pilot mental workload	['heart rate', 'flight rules']
this new approach provides more degrees of freedom and XXXXX in XXXXX	['type-2 fuzzy logic systems', 'design flexibility']
XXXXX using granular type-2 XXXXX have more potential to model and handle uncertainties	['type-2 fuzzy logic systems', 'membership functions']
XXXXX has been carried out without removing XXXXX in the data set	['feature selection', 'missing values']
we show the application of gifss in real XXXXX and XXXXX	['supplier selection', 'medical diagnosis problems']
a matheuristic by combining the XXXXX with a XXXXX is suggested	['tabu search algorithm', 'neighbourhood structure']
we make use of XXXXX as a XXXXX for illumination classification	['rough set', 'decision maker']
the evolving XXXXX is introduced for the modelling of XXXXX with dead-zone input	['intelligent algorithm', 'nonlinear systems']
applying the evolving computation concept to train a dynamic XXXXX capable of modeling XXXXX alloy actuators	['black box', 'shape memory']
we employ partially XXXXX for solving system of XXXXX	['fuzzy neural network', 'fuzzy differential equations']
we propose a XXXXX from the XXXXX for adjusting of weights	['learning algorithm', 'cost function']
XXXXX of open XXXXX and state of charge of lifepo4 batteries	['mathematical model', 'circuit voltage']
use of XXXXX and fourier XXXXX for identifying similar past situations	['hierarchical clustering', 'frequency analysis']
we use XXXXX to handle the XXXXX in the real-world problems	['fuzzy set theory', 'imprecise information']
we use XXXXX to handle the imprecise information in the XXXXX	['fuzzy set theory', 'real-world problems']
we use fuzzy set theory to handle the XXXXX in the XXXXX	['imprecise information', 'real-world problems']
a binary-real-coded XXXXX ( ga ) is proposed as the XXXXX of the ucp	['genetic algorithm', 'solution technique']
we have considered in the XXXXX : continuous , integer and binary XXXXX simultaneously	['optimization problem', 'decision variables']
we introduce and examine a new methodology for training XXXXX ( rbf ) XXXXX	['radial basis function', 'neural networks']
we use XXXXX in order to improve the functionality of the optimum XXXXX ( osd ) learning algorithm	['fuzzy clustering', 'steepest descent']
we use XXXXX in order to improve the functionality of the optimum steepest descent ( osd ) XXXXX	['fuzzy clustering', 'learning algorithm']
we use fuzzy clustering in order to improve the functionality of the optimum XXXXX ( osd ) XXXXX	['steepest descent', 'learning algorithm']
we can synthesize a set of XXXXX and find appropriate dithers to stabilize nonlinear multiple time-delay ( nmtd ) XXXXX	['fuzzy controllers', 'interconnected systems']
when the designed XXXXX can not stabilize the nmtd XXXXX , a batch of high-frequency signals ( commonly referred to as dithers ) is simultaneously introduced to stabilize it	['fuzzy controllers', 'interconnected systems']
gea-based pso can perform a XXXXX with faster XXXXX	['global search', 'convergence speed']
a hybrid optimization method for XXXXX of XXXXX in distribution networks is proposed	['optimal allocation', 'wind turbines']
a XXXXX for XXXXX of wind turbines in distribution networks is proposed	['optimal allocation', 'hybrid optimization method']
a XXXXX for optimal allocation of XXXXX in distribution networks is proposed	['wind turbines', 'hybrid optimization method']
combining the XXXXX ( ga ) and the market-based XXXXX ( opf )	['genetic algorithm', 'optimal power flow']
diesel engine models are built using advanced XXXXX and verified based on XXXXX	['machine learning techniques', 'experimental data']
ntld classifier gives good XXXXX in case of XXXXX	['classification accuracy', 'multi-class problem']
the solutions delivered by vn-mga are compared with the ones delivered by the XXXXX provided by an ilp solver , for medium-sized problem instances . the vn-mga was found to be able to find most of the exact XXXXX , leaving a small gap in the other cases	['exact solutions', 'pareto-optimal solutions']
the solutions delivered by vn-mga are compared with the ones delivered by the XXXXX provided by an XXXXX , for medium-sized problem instances . the vn-mga was found to be able to find most of the exact pareto-optimal solutions , leaving a small gap in the other cases	['exact solutions', 'ilp solver']
the solutions delivered by vn-mga are compared with the ones delivered by the XXXXX provided by an ilp solver , for medium-sized XXXXX . the vn-mga was found to be able to find most of the exact pareto-optimal solutions , leaving a small gap in the other cases	['exact solutions', 'problem instances']
the solutions delivered by vn-mga are compared with the ones delivered by the exact solutions provided by an XXXXX , for medium-sized problem instances . the vn-mga was found to be able to find most of the exact XXXXX , leaving a small gap in the other cases	['pareto-optimal solutions', 'ilp solver']
the solutions delivered by vn-mga are compared with the ones delivered by the exact solutions provided by an ilp solver , for medium-sized XXXXX . the vn-mga was found to be able to find most of the exact XXXXX , leaving a small gap in the other cases	['pareto-optimal solutions', 'problem instances']
the solutions delivered by vn-mga are compared with the ones delivered by the exact solutions provided by an XXXXX , for medium-sized XXXXX . the vn-mga was found to be able to find most of the exact pareto-optimal solutions , leaving a small gap in the other cases	['ilp solver', 'problem instances']
we present a supplier selection decision method based on XXXXX combined with a fuzzy rule-based XXXXX	['fuzzy inference', 'classification method']
an adaptive hysteresis current XXXXX is proposed for dc–ac inverter in the XXXXX	['control algorithm', 'pv system']
we propose a network clustering algorithm , based on the application of XXXXX and capable of exploiting the XXXXX	['genetic operators', 'traffic information']
biological motivation , XXXXX , XXXXX , open research problems and challenging issues of these models	['design principles', 'application areas']
distributed XXXXX in a XXXXX including v2g	['energy resources', 'smart grid environment']
an XXXXX named mofoa is proposed , which is the first study that extends the relatively new fireworks optimization heuristic for XXXXX	['evolutionary algorithm', 'multiobjective optimization']
XXXXX : modified shuffled frog leaping algorithm ( msfla ) with XXXXX ( ga ) cross-over	['genetic algorithm', 'solution method']
an improved variant of the XXXXX is presented by simulating a XXXXX	['abc algorithm', 'learning mechanism']
indicating the XXXXX problems of the analytic XXXXX ( ahp ) , and proposing the paired interval scale addressing the limitations	['rating scale', 'hierarchy process']
a XXXXX combining XXXXX with wavelet radial basis function neural network is presented	['hybrid algorithm', 'particle swarm optimization']
a XXXXX combining particle swarm optimization with wavelet XXXXX is presented	['hybrid algorithm', 'radial basis function neural network']
a hybrid algorithm combining XXXXX with wavelet XXXXX is presented	['particle swarm optimization', 'radial basis function neural network']
development of evolutionary-tuned XXXXX for dynamic sequencing of jobs on a XXXXX	['fuzzy controller', 'manufacturing facility']
the proposed controllers produced considerably more XXXXX than the examined XXXXX	['pareto optimal solutions', 'dispatching rules']
we propose XXXXX which is based on combining adaboost algorithm with svm for XXXXX phenomenon . we call this boosted svm	['hybrid approach', 'imbalanced data']
the proposed XXXXX minimizes weighted exponential XXXXX	['hybrid approach', 'error function']
the problem of constructing an organ XXXXX via XXXXX is assessed	['machine learning techniques', 'allocation model']
the conclusion is based on the XXXXX and XXXXX ( i.e. , wilcoxon signed rank median test )	['performance metrics', 'statistical analysis']
XXXXX for finite state machines is one of the main XXXXX in the synthesis of sequential circuits	['state assignment', 'optimization problems']
XXXXX for finite state machines is one of the main optimization problems in the synthesis of XXXXX	['state assignment', 'sequential circuits']
state assignment for finite state machines is one of the main XXXXX in the synthesis of XXXXX	['optimization problems', 'sequential circuits']
an improved binary XXXXX is proposed and its effectiveness is demonstrated in solving the XXXXX	['pso algorithm', 'state assignment problem']
one of the objective of XXXXX is to synthesize XXXXX targeting area optimization	['sequential circuits', 'state assignment problem']
an XXXXX using itae , XXXXX and settling times is proposed	['objective function', 'damping ratio']
an XXXXX for training the parameters of the XXXXX is further developed	['optimal algorithm', 'forecasting model']
a XXXXX is examined to demonstrate the ability of the newly proposed XXXXX	['case study', 'forecasting model']
the XXXXX approach is used to optimize local and global modelling capability of XXXXX	['t-s fuzzy model', 'weighting parameters']
the weighting parameters approach is used to optimize local and global XXXXX of XXXXX	['t-s fuzzy model', 'modelling capability']
the XXXXX approach is used to optimize local and global XXXXX of t-s fuzzy model	['weighting parameters', 'modelling capability']
proposed a XXXXX to classify the XXXXX images into two outcomes : benign or malignant	['hybrid algorithm', 'breast cancer']
the overall accuracy offered by the employed XXXXX confirms that the effectiveness and performance of the proposed XXXXX is high	['hybrid technique', 'hybrid system']
the numerical simulation results confirm the superiority of the proposed ainet-sl in XXXXX and XXXXX	['solution accuracy', 'convergence speed']
we consider XXXXX in leader–follower formation with the XXXXX using the potential field method	['path planning', 'obstacle avoidance']
a novel cost-sensitive ensemble , based on XXXXX , for XXXXX	['decision trees', 'imbalanced classification']
XXXXX are utilized to solve multi-path XXXXX	['meta-heuristic algorithms', 'selection problem']
hybrid oc–ga method has powerful capacity in searching for more optimal XXXXX and requiring less XXXXX	['truss structures', 'computational effort']
XXXXX according to customer-specific XXXXX , which are highly relevant to the customers’ satisfaction level	['vehicle routing', 'time windows']
XXXXX according to customer-specific time windows , which are highly relevant to the customers’ XXXXX	['vehicle routing', 'satisfaction level']
vehicle routing according to customer-specific XXXXX , which are highly relevant to the customers’ XXXXX	['time windows', 'satisfaction level']
